Date,apparent_temperature_max,daylight_hours,precipitation_hours
2023-10-05,81.6,11.6,0.0
2023-10-06,74.8,11.5,6.0
2023-10-07,72.5,11.5,9.0
2023-10-08,52.6,11.5,0.0
2023-10-09,54.4,11.4,0.0
2023-10-10,60.3,11.4,0.0
2023-10-11,66.5,11.3,0.0
2023-10-12,68.8,11.3,0.0
2023-10-13,60.1,11.2,0.0
2023-10-14,51.5,11.2,12.0
2023-10-15,52.4,11.1,6.0
2023-10-16,59.4,11.1,0.0
2023-10-17,59.5,11.1,0.0
2023-10-18,62.1,11.0,0.0
2023-10-19,61.2,11.0,0.0
2023-10-20,64.9,10.9,15.0
2023-10-21,63.6,10.9,12.0
2023-10-22,48.2,10.8,0.0
2023-10-23,56.6,10.8,0.0
2023-10-24,61.3,10.8,0.0
2023-10-25,70.8,10.7,0.0
2023-10-26,79.8,10.7,0.0
2023-10-27,75.9,10.6,0.0
2023-10-28,81.7,10.6,0.0
2023-10-29,59.1,10.6,9.0
2023-10-30,57.8,10.5,9.0
2023-10-31,46.2,10.5,0.0
2023-11-01,43.7,10.4,3.0
2023-11-02,42.6,10.4,0.0
2023-11-03,48.0,10.4,0.0
2023-11-04,55.6,10.3,0.0
2023-11-05,60.5,10.3,0.0
2023-11-06,51.9,10.2,0.0
2023-11-07,61.8,10.2,3.0
2023-11-08,46.8,10.2,0.0
2023-11-09,55.1,10.1,0.0
2023-11-10,45.7,10.1,0.0
2023-11-11,47.0,10.1,0.0
2023-11-12,39.0,10.0,0.0
2023-11-13,41.7,10.0,0.0
2023-11-14,44.2,10.0,0.0
2023-11-15,46.2,9.9,0.0
2023-11-16,61.1,9.9,0.0
2023-11-17,62.0,9.9,0.0
2023-11-18,59.2,9.8,0.0
2023-11-19,47.3,9.8,0.0
2023-11-20,36.5,9.8,0.0
2023-11-21,38.5,9.7,9.0
2023-11-22,48.7,9.7,9.0
2023-11-23,45.1,9.7,0.0
2023-11-24,41.4,9.6,0.0
2023-11-25,34.4,9.6,0.0
2023-11-26,44.4,9.6,6.0
2023-11-27,46.2,9.6,3.0
2023-11-28,26.5,9.5,0.0
2023-11-29,27.5,9.5,0.0
2023-11-30,42.8,9.5,0.0
2023-12-01,42.8,9.5,9.0
2023-12-02,57.3,9.4,3.0
2023-12-03,46.5,9.4,18.0
2023-12-04,43.6,9.4,3.0
2023-12-05,35.7,9.4,0.0
2023-12-06,32.6,9.4,0.0
2023-12-07,30.0,9.4,0.0
2023-12-08,43.2,9.3,0.0
2023-12-09,55.2,9.3,0.0
2023-12-10,57.6,9.3,9.0
2023-12-11,42.8,9.3,15.0
2023-12-12,34.7,9.3,0.0
2023-12-13,37.5,9.3,0.0
2023-12-14,32.4,9.3,0.0
2023-12-15,51.2,9.3,0.0
2023-12-16,49.2,9.3,0.0
