date,apparent_temperature_max,daylight_duration,precipitation_hours
2023-08-27 01:00:00-04:00,86.979965,47937.49,0.0
2023-08-28 01:00:00-04:00,79.08548,47785.523,0.0
2023-08-29 01:00:00-04:00,84.40953,47632.375,0.0
2023-08-30 01:00:00-04:00,87.48973,47478.145,6.0
2023-08-31 01:00:00-04:00,74.474655,47322.953,0.0
2023-09-01 01:00:00-04:00,75.86062,47166.902,0.0
2023-09-02 01:00:00-04:00,81.07834,47010.105,0.0
2023-09-03 01:00:00-04:00,94.37509,46852.664,0.0
2023-09-04 01:00:00-04:00,97.71057,46694.688,0.0
2023-09-05 01:00:00-04:00,101.36767,46536.27,0.0
2023-09-06 01:00:00-04:00,101.72094,46377.51,0.0
2023-09-07 01:00:00-04:00,103.61497,46218.516,0.0
2023-09-08 01:00:00-04:00,103.37303,46059.38,6.0
2023-09-09 01:00:00-04:00,97.616714,45900.195,0.0
2023-09-10 01:00:00-04:00,82.1962,45741.062,6.0
2023-09-11 01:00:00-04:00,88.06878,45582.08,9.0
2023-09-12 01:00:00-04:00,88.11833,45423.324,0.0
2023-09-13 01:00:00-04:00,82.92747,45264.906,0.0
2023-09-14 01:00:00-04:00,77.16281,45106.906,0.0
2023-09-15 01:00:00-04:00,66.73727,44949.04,0.0
2023-09-16 01:00:00-04:00,71.55547,44790.305,0.0
2023-09-17 01:00:00-04:00,77.95257,44630.746,0.0
2023-09-18 01:00:00-04:00,73.052475,44470.46,18.0
2023-09-19 01:00:00-04:00,69.5084,44309.547,0.0
2023-09-20 01:00:00-04:00,74.18826,44148.117,0.0
2023-09-21 01:00:00-04:00,73.09047,43986.258,0.0
2023-09-22 01:00:00-04:00,68.532936,43824.07,0.0
2023-09-23 01:00:00-04:00,57.923164,43661.664,15.0
2023-09-24 01:00:00-04:00,62.319874,43499.12,24.0
2023-09-25 01:00:00-04:00,62.503307,43336.55,21.0
2023-09-26 01:00:00-04:00,59.671898,43174.047,3.0
2023-09-27 01:00:00-04:00,61.67176,43011.707,0.0
2023-09-28 01:00:00-04:00,60.478615,42849.633,6.0
2023-09-29 01:00:00-04:00,59.027046,42687.918,21.0
2023-09-30 01:00:00-04:00,65.195885,42526.664,6.0
2023-10-01 01:00:00-04:00,76.7334,42365.97,0.0
2023-10-02 01:00:00-04:00,78.66345,42205.934,0.0
2023-10-03 01:00:00-04:00,86.10549,42046.664,0.0
2023-10-04 01:00:00-04:00,92.11956,41888.25,0.0
2023-10-05 01:00:00-04:00,81.5688,41730.39,0.0
2023-10-06 01:00:00-04:00,74.7703,41571.996,6.0
2023-10-07 01:00:00-04:00,72.47663,41413.113,9.0
2023-10-08 01:00:00-04:00,52.64863,41253.855,0.0
2023-10-09 01:00:00-04:00,54.424236,41094.33,0.0
2023-10-10 01:00:00-04:00,60.306168,40934.652,0.0
2023-10-11 01:00:00-04:00,66.54789,40774.934,0.0
2023-10-12 01:00:00-04:00,68.76257,40615.293,0.0
2023-10-13 01:00:00-04:00,60.136856,40455.844,0.0
2023-10-14 01:00:00-04:00,51.54893,40296.707,12.0
2023-10-15 01:00:00-04:00,52.370663,40137.996,6.0
2023-10-16 01:00:00-04:00,59.38137,39979.836,0.0
2023-10-17 01:00:00-04:00,59.51037,39822.348,0.0
2023-10-18 01:00:00-04:00,62.137474,39665.65,0.0
2023-10-19 01:00:00-04:00,61.247776,39509.88,0.0
